"","long","lat","order","hole","piece","id","group"
"169",17.384484,50.895279,169,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"170",17.378054,50.879387,170,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"171",17.373653,50.871991,171,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"172",17.358025,50.854371,172,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"173",17.352697,50.846955,173,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"174",17.349941,50.842324,174,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"175",17.344991,50.836293,175,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"176",17.340676,50.831047,176,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"177",17.334236,50.822735,177,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"178",17.322136,50.807979,178,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"179",17.317871,50.804362,179,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"180",17.311426,50.799465,180,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"181",17.304835,50.793393,181,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"182",17.298535,50.787629,182,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"183",17.290465,50.781521,183,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"184",17.28184,50.774285,184,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"185",17.280172,50.772954,185,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"186",17.27839,50.771484,186,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"187",17.275744,50.769302,187,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"188",17.269408,50.764915,188,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"189",17.262666,50.760537,189,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"190",17.254268,50.754447,190,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"191",17.244399,50.747302,191,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"192",17.23324,50.738721,192,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"193",17.226551,50.732296,193,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"194",17.220388,50.723964,194,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"195",17.214269,50.716693,195,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"196",17.210818,50.711907,196,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"197",17.208942,50.707317,197,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"198",17.201054,50.692653,198,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"199",17.195703,50.682082,199,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"200",17.192416,50.674283,200,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"201",17.18954,50.668583,201,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"202",17.186773,50.66291,202,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"203",17.180396,50.648103,203,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"204",17.173103,50.628513,204,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"205",17.168777,50.619126,205,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"206",17.152614,50.591405,206,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"207",17.146726,50.58302,207,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"208",17.144691,50.580966,208,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"209",17.145719,50.579453,209,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"210",17.142991,50.57925,210,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"211",17.141505,50.579141,211,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"212",17.133416,50.578758,212,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"213",17.118645,50.578696,213,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"214",17.09561,50.577506,214,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"215",17.07299,50.573611,215,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"216",17.051568,50.568531,216,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"217",17.046189,50.567066,217,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"218",17.041793,50.56578,218,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"219",17.034085,50.563403,219,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"220",17.02206,50.548976,220,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"221",16.999665,50.520352,221,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"222",16.995417,50.514352,222,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"223",16.989708,50.507118,223,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"224",16.986487,50.502338,224,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"225",16.98532,50.498749,225,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"226",16.981888,50.49234,226,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"227",16.975953,50.484456,227,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"228",16.969387,50.476837,228,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"229",16.963851,50.470729,229,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"230",16.958495,50.464509,230,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"231",16.956943,50.454467,231,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"232",16.948904,50.433125,232,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"233",16.948305,50.432205,233,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"234",16.94485,50.432107,234,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"235",16.94285,50.43205,235,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"236",16.942425,50.432038,236,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"237",16.942412,50.432223,237,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"238",16.942242,50.434762,238,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"239",16.942124,50.43654,239,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
